ID,Scaffold,Activity,Canonicalsmiles
113,O=C1CC(c2ccco2)Sc2ccccc2N1,0,O=C1CC(c2ccco2)Sc2ccccc2N1
114,O=C(CSc1nnc(CCCc2ccccc2)o1)Nc1ccccc1,0,O=C(CSc1nnc(CCCc2ccccc2)o1)Nc1ccccc1
115,c1c[nH]c(-c2ccno2)c1,0,c1c[nH]c(-c2ccno2)c1
116,O=C(Cn1c(=O)n(Cc2ccco2)c(=O)c2ccccc21)c1ccccc1,0,O=C(Cn1c(=O)n(Cc2ccco2)c(=O)c2ccccc21)c1ccccc1
117,O=C(COc1ccccc1)Nc1ccccc1,0,O=C(COc1ccccc1)Nc1ccccc1
118,O=C(Nc1cc2c(s1)CCC2)c1ccn[nH]1,0,O=C(Nc1cc2c(s1)CCC2)c1ccn[nH]1
119,O=C(NCc1ccc2c(c1)OCO2)c1cnn2c(=O)c(Cc3ccccc3)c[nH]c12,0,O=C(NCc1ccc2c(c1)OCO2)c1cnn2c(=O)c(Cc3ccccc3)c[nH]c12
120,O=c1ccc2cc3ccoc3cc2o1,0,O=c1ccc2cc3ccoc3cc2o1
121,O=c1c(=Cc2ccccc2)sc2nc(-c3ccco3)nn12,0,O=c1c(=Cc2ccccc2)sc2nc(-c3ccco3)nn12
122,O=C(NN=Cc1cccc2ccccc12)c1cn(-c2cnon2)nn1,0,O=C(NN=Cc1cccc2ccccc12)c1cn(-c2cnon2)nn1
123,O=C(COc1ccc2c(c1)OCO2)Nc1nncs1,0,O=C(COc1ccc2c(c1)OCO2)Nc1nncs1
124,O=C(CCC(=O)N(Cc1ccccc1)C1CC1)Nc1ccon1,0,O=C(CCC(=O)N(Cc1ccccc1)C1CC1)Nc1ccon1
125,O=C(COC(=O)c1ccccc1)Nc1ccc2[nH]c3ccccc3c2c1,0,O=C(COC(=O)c1ccccc1)Nc1ccc2[nH]c3ccccc3c2c1
126,c1ccc(CCc2nncs2)cc1,0,c1ccc(CCc2nncs2)cc1
127,c1ccc(-c2ncc[nH]2)cc1,0,c1ccc(-c2ncc[nH]2)cc1
128,N=c1c(S(=O)(=O)c2ccccc2)cc2c(=O)n3ccccc3nc2n1Cc1ccco1,0,N=c1c(S(=O)(=O)c2ccccc2)cc2c(=O)n3ccccc3nc2n1Cc1ccco1
129,O=C(CSc1nnc(Cc2cccs2)n1-c1ccccc1)Nc1ccc2c(c1)OCCO2,0,O=C(CSc1nnc(Cc2cccs2)n1-c1ccccc1)Nc1ccc2c(c1)OCCO2
130,O=C(CNS(=O)(=O)c1ccc2c(c1)CCN2)Nc1ccccc1,0,O=C(CNS(=O)(=O)c1ccc2c(c1)CCN2)Nc1ccccc1
131,O=C(C=Cc1cn(-c2ccccc2)nc1-c1ccccc1)NCC(=O)Nc1ccccc1,0,O=C(C=Cc1cn(-c2ccccc2)nc1-c1ccccc1)NCC(=O)Nc1ccccc1
132,O=C(NN=CC=Cc1ccccc1)C1CC1c1ccccc1,0,O=C(NN=CC=Cc1ccccc1)C1CC1c1ccccc1
133,O=C(NCc1ccc2c(c1)OCO2)c1cccc(S(=O)(=O)NCc2ccccc2)c1,0,O=C(NCc1ccc2c(c1)OCO2)c1cccc(S(=O)(=O)NCc2ccccc2)c1
134,O=C(OCc1ccccc1)c1ccco1,0,O=C(OCc1ccccc1)c1ccco1
135,c1ccc(-c2cc(-c3ccccc3)[n+](-c3ccccc3)c(-c3ccccc3)c2)cc1,0,c1ccc(-c2cc(-c3ccccc3)[n+](-c3ccccc3)c(-c3ccccc3)c2)cc1
136,O=C(C=Cc1ccccc1)OCC(=O)c1ccccc1,0,O=C(C=Cc1ccccc1)OCC(=O)c1ccccc1
137,O=C(Nc1ccccc1N1CCNCC1)c1ccc2c(c1)OCCO2,0,O=C(Nc1ccccc1N1CCNCC1)c1ccc2c(c1)OCCO2
138,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccc2nc(SCC(=O)NC3CC3)sc2c1,0,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccc2nc(SCC(=O)NC3CC3)sc2c1
139,O=C(NCc1ccccc1)C(=O)NCC1OCCN1S(=O)(=O)c1ccccc1,0,O=C(NCc1ccccc1)C(=O)NCC1OCCN1S(=O)(=O)c1ccccc1
140,O=C(Nc1cccc(-c2cc3ccccc3oc2=O)c1)c1ccccc1,0,O=C(Nc1cccc(-c2cc3ccccc3oc2=O)c1)c1ccccc1
141,O=S(=O)(Nc1cccc2ccccc12)c1ccccc1,0,O=S(=O)(Nc1cccc2ccccc12)c1ccccc1
142,C=c1ccc(=c2[nH]c(=O)c(=Cc3ccccc3)s2)cc1,0,C=c1ccc(=c2[nH]c(=O)c(=Cc3ccccc3)s2)cc1
143,O=C(NN=Cc1cccc(COc2ccccc2)c1)c1ccccn1,0,O=C(NN=Cc1cccc(COc2ccccc2)c1)c1ccccn1
144,O=C(CSc1nnc(Cc2ccc[nH]2)n1CCc1ccccc1)Nc1ccccc1,0,O=C(CSc1nnc(Cc2ccc[nH]2)n1CCc1ccccc1)Nc1ccccc1
145,c1ccc(-c2cc3ccccc3[nH]2)cc1,0,c1ccc(-c2cc3ccccc3[nH]2)cc1
